1-1024,1-2048,1-4096,1-8192,1-16384
6.549000,18.354000,68.750000,270.374000,1093.989000,
4.923000,18.931000,65.855000,269.320000,1090.458000,
4.811000,19.399000,74.628000,269.600000,1081.445000,
4.307000,19.534000,65.907000,268.704000,1070.471000,
5.630000,18.674000,67.781000,268.705000,1075.940000,


2-1024,2-2048,2-4096,2-8192,2-16384
4.052000,9.880000,38.868000,160.971000,638.563000,
3.405000,9.706000,38.649000,160.021000,641.884000,
3.280000,9.712000,38.672000,161.145000,640.169000,
3.276000,9.695000,40.349000,166.424000,709.497000
